locatie;UN;Product;batch;aantal;verdiep
HL01504;000095012021;H000025889;980305B332;135.590;04
HJ02604;000095012019;H000025889;980305B330;133.510;04
HL01502;000095012036;H000025889;980305B330;131.890;02
HL01405;000095012032;H000025889;980305A299;132.370;05
HL01406;000095012029;H000025889;980305B349;135.850;06
HL01404;000095012017;H000025889;980305A301;143.530;04
HL01403;000095012045;H000025889;980305B348;132.950;03
HL02806;000095012037;H000025889;980305B331;130.020;06
HL00203;000095012039;H000025889;980305B333;133.500;03
HL03001;000095012016;H000025889;980305A300;138.260;01
HL00202;000095012038;H000025889;980305B332;136.630;02
HL03005;000095012015;H000025889;980305A299;129.680;05
HL03006;000095012018;H000025889;980305B329;131.160;06
HL01802;000095012035;H000025889;980305B329;136.620;02
HJ01503;000095012070;H000025889;980305B381;132.650;03
HL03004;000095012122;H000025889;980305B249;130.980;04
HL02405;000095012130;H000025889;980305B316;126.840;05
HL02404;000095012055;H000025889;980305A289;129.240;04
HJ01704;000095012056;H000025889;980305A294;130.920;04
HL02501;000095012115;H000025889;980305A289;137.340;01
HJ01203;000095012114;H000025889;980305A288;134.970;03
HL02505;000095012132;H000025889;980305B381;108.400;05
HL02506;000095012116;H000025889;980305A294;134.990;06
HL02601;000095012054;H000025889;980305A288;130.940;01
HJ01202;000095012062;H000025889;980305B253;135.560;02
HL02603;000095012123;H000025889;980305B253;130.430;03
HL02605;000095012063;H000025889;980305B257;138.700;05
HJ01403;000095012124;H000025889;980305B257;127.360;03
HJ01201;000095012117;H000025889;980305A319;135.440;01
HJ01501;000095012064;H000025889;980305B313;124.550;01
HL02703;000095012060;H000025889;980305A322;125.650;03
HL02705;000095012066;H000025889;980305B315;129.570;05
HL02706;000095012131;H000025889;980305B377;136.370;06
HL02802;000095012061;H000025889;980305B249;134.810;02
HL02801;000095012059;H000025889;980305A321;131.080;01
HL02803;000095012127;H000025889;980305B314;136.340;03
HL02804;000095012129;H000025889;980305B315;135.770;04
HL00206;000095012120;H000025889;980305A321;135.440;06
HL00204;000095012121;H000025889;980305A322;140.190;04
HL02902;000095012068;H000025889;980305B377;136.350;02
HL00205;000095012125;H000025889;980305B313;140.670;05
HL02905;000095012065;H000025889;980305B314;128.870;05
HL03002;000095012057;H000025889;980305A319;132.210;02
HH00304;000095017944;H000025889;980305B276;133.160;04
HJ01904;000095018020;H000025889;980305B283;137.960;04
HL03204;000095018032;H000025889;980305B297;133.280;04
HL02402;000095018016;H000025889;980305B276;132.990;02
HJ01902;000095017947;H000025889;980305B282;135.990;02
HL03205;000095018054;H000025889;980305B304;129.000;05
HL02206;000095017918;H000025889;980305B188;136.190;06
HL02205;000095017919;H000025889;980305B190;137.540;05
HL02203;000095017928;H000025889;980305B277;138.990;03
HJ02105;000095017934;H000025889;980305A290;135.730;05
HH00203;000095018013;H000025889;980305B273;132.800;03
HL02202;000095018017;H000025889;980305B277;136.340;02
HL02106;000095017932;H000025889;980305B284;106.220;06
HL03203;000095018050;H000025889;980305B300;125.630;03
